Crash Event,crash link,내용,사용자 수,이벤트 수,90일간 사용자 수,90일간 이벤트 수,진행상태,수정 현황,수정 버전,Jira 이슈 필드,최초 보고 일자
ViewGroup.offsetRectBetweenParentAndChild,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/1ceae08e29560910c0e182b24852e881?hl=ko&time=last-twenty-four-hours&types=crash,"MotionLayout 그릴 때 offset 측정 오류 ",0,0,1,1,발생 추이 모니터링,,,,2024-07-08
g.a,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/26beb5acc3d8fe1f465124cf91fd63cb?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생 (com.kakao.adfit 내부),0,0,3,3,발생 추이 모니터링,,,,2024-07-08
org.chromium.android_webview.AwContents.v,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/85f05d7a0cb7677fae0bf633039383b2?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생 (WebView),0,0,2,2,발생 추이 모니터링,,,,2024-07-08
WV.eq.a,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/8ce59e82966e6fc011975ca2b775e424?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생 (WebView),0,0,2,2,발생 추이 모니터링,,,,2024-07-08
WV.I7.b,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/a092e3887426274b13536ad12516d5e0?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생 (WebView),0,0,7,7,발생 추이 모니터링,,,,2024-07-08
HomeNormalChallengeAdapter.createRecruitingAdnetworkViewHolder,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/a3c0d007dcd9eb9b0f467375744b4a48?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생 (Home List AdnetworkViewHolder Inflate시),0,0,1,1,발생 추이 모니터링,,,,2024-07-08
io.balso.ui.base.BaseBindingActivity$dataBinding$2.invoke,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/3e42e9d17450eb111a5b5386ffad92c9?hl=ko&time=last-twenty-four-hours&types=crash,databinding시  Resource 참조 문제,0,0,13,17,발생 추이 모니터링,,,,2024-07-10
RecruitingChallengeAdapter.createRecruitingChallengeViewHolder,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/ec186587d80b71cb793d65f38db08cf8?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생 (챌린지 탭 - RecruitingChallengeAdapter),0,0,3,3,발생 추이 모니터링,,,,2024-07-10
Object.internalClone,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/dc8fbede1c40eb24c6b696aa709d865b?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생 (layout xml 구성 관련),0,0,1,1,발생 추이 모니터링,,,,2024-07-12
BaseSharedPreference.get,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/e1dddfd71bf71b209d95a322f29cbffe?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생 (SharedPreference get),0,0,1,1,발생 추이 모니터링,,,,2024-07-12
com.igaworks.ssp.common.m.a.f,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/f08b3dce9870ae57e10081d79aea7401?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생 (Home - AdPopcorn 광고),0,0,2,2,발생 추이 모니터링,,,,2024-07-15
DirectExecutor.execute,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/cfe7abb71b0ea8c039874ba3a7b7895e?hl=ko&time=last-twenty-four-hours&types=crash,헬스 커넥트 연결 실패 시,0,0,1,1,발생 추이 모니터링,,,,2024-07-17
ExitAppDialog.initOfferwallLayout,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/2b303c54c15581d44c7ba383d3ae7a0b?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생(앱 종료 팝업 생성 시),0,0,1,1,발생 추이 모니터링,,,,2024-07-19
InsecureNonceAesGcmJce.decrypt,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/47564bdbb0d0b394c1e3b3ac32a22b24?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생(SharedPreference),0,0,1,1,발생 추이 모니터링,,,,2024-07-19
com.igaworks.ssp.part.hybrid.AdPopcornSSPJsBridge$d.OnCustomAdReceiveSuccess,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/5616071684ef6c80bb8551a80de92122?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생(애드팝콘 SSP 광고),0,0,1,1,발생 추이 모니터링,,,,2024-07-19
ArrayLinkedVariables.<init>,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/981914888c3004ab51e0ea0bc3698124?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생(홈 MotionLayout),0,0,2,2,발생 추이 모니터링,,,,2024-07-19
com.igaworks.ssp.common.o.a$d.run,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/981c52219d98247c7f89f9f5c44fecab?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생(애드팝콘 SSP 광고),0,0,4,4,발생 추이 모니터링,,,,2024-07-19
StepManagerImpl.processWalkData,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/ac952a541104c862745adc5351180f90?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생(걸음 수 계산),0,0,1,1,발생 추이 모니터링,,,,2024-07-19
RealConnectionPool.cleanup,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/ac952a541104c862745adc5351180f90?hl=ko&time=last-twenty-four-hours&types=crash,정규식 Class관련 IncompatibleClassChangeError,0,0,1,1,발생 추이 모니터링,,,,2024-07-19
com.fsn.cauly.blackdragoncore.contents.f.a,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/ec64392b0978064c9a76c354d37b759f?hl=ko&time=last-twenty-four-hours&types=crash,"openIntent 시  Activity없음 ",0,0,3,8,발생 추이 모니터링,,,,2024-07-22
PincruxOfferwallActivity.onResume,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/12cf4a978eb9f279b2d1de129f5a5ff7?hl=ko&time=last-twenty-four-hours&types=crash,PincruxOfferwall화면 Activity Lifecycle 문제,0,0,1,1,발생 추이 모니터링,,,,2024-07-24
ConstraintWidget.<init>,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/62a9f63f892efb7347a322c31acf3068?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생(홈 MotionLayout),0,0,3,3,발생 추이 모니터링,,,,2024-07-24
SemDesktopModeManager.getDesktopModeState,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/f698ce8b56be08bddc55d5b3b8c852b9?hl=ko&time=last-twenty-four-hours&types=crash,DeadSystemException,0,0,1,1,발생 추이 모니터링,,,,2024-07-24
f.a,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/23a21a11ece866f8c97d0651426fcfdf?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생(kakao.adfit),0,0,1,1,발생 추이 모니터링,,,,2024-07-26
java.lang.OutOfMemoryError,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/310f2754352eee6c68696b74a4034137?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생(Exception Throw 중),0,0,4,5,발생 추이 모니터링,,,,2024-07-26
ThreadedRenderer.nDeleteProxy,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/ad3a5b98108c4b71119b41c619a4b5c3?hl=ko&time=last-twenty-four-hours&types=crash,View Rendering 중 Timeout,0,0,1,1,발생 추이 모니터링,,,,2024-07-26
SplineSet$Sort.doubleQuickSort,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/eba2a7cde924f7e23cf9934b21bc8325?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생(ConstraintLayout),0,0,2,2,발생 추이 모니터링,,,,2024-07-26
ConstraintAnchor.resetSolverVariable,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/3b50040c246da561d6145cfb1ba9e832?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생(ConstraintLayout),0,0,2,2,발생 추이 모니터링,,,,2024-07-29
org.chromium.content.browser.GestureListenerManagerImpl.onEventAck,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/a79932e3901042c74c56a277286c0e4b?hl=ko&time=last-twenty-four-hours&types=crash,destroy된 window에 이벤트 전달,0,0,2,2,발생 추이 모니터링,,,,2024-07-29
